obj_id	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
13836055319	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3029.2544	-0.17671204	5227.634	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836080936	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3116	200	5240	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836080741	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3116.58	200	5238.3486	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836080738	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3116	200	5244	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836080739	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3116	200	5242	0	-2.95E-07	0	1.0000001		buildout_utility.write|0|1|$|
13836080735	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3116	200	5246	0	0.38268334	0	0.92387974		buildout_utility.write|0|1|$|
13836080704	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3114	200	5246	0	-2.95E-07	0	1.0000001		buildout_utility.write|0|1|$|
13836080698	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3112	200	5246	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836080693	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3110	200	5246	0	-2.95E-07	0	1.0000001		buildout_utility.write|0|1|$|
13836080669	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3108	200	5246	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836079580	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3124	200	5222	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836078195	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3124	200	5238	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836078040	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3124	200	5254	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836078218	0	object/static/structure/corellia/corl_imprv_column_s02.iff	0	-3108	200	5238	0	0.707107	0	0.707107		buildout_utility.write|0|1|$|
13836073098	0	object/static/particle/particle_newbie_spotlight.iff	0	-3049.1914	200.51723	5169.3813	0.40393665	0.83621377	0.16133718	0.33399364		buildout_utility.write|0|1|$|
13836071966	0	object/static/item/item_tool_handheld_viewscreen_s2.iff	0	-3000.271	200.83778	5291.5474	0	0.74209666	0	-0.6702928		buildout_utility.write|0|1|$|
13836071965	0	object/static/item/item_tool_droid_toolkit.iff	0	-3000.4995	200.79701	5291.815	0	0.52626574	0	0.85032004		buildout_utility.write|0|1|$|
13836071964	0	object/static/item/item_crate_spice.iff	0	-3000.316	200	5291.71	0	-0.050774567	0	0.99871004		buildout_utility.write|0|1|$|
13836072230	0	object/static/vehicle/static_speeder_usv5.iff	0	-2985.5955	200	5291.882	0	-0.15140766	0	0.9884709		buildout_utility.write|0|1|$|
13836067605	0	object/static/item/item_music_drum.iff	0	-3049.8967	201.19252	5170.0483	0	0.38554272	0	0.9226897		buildout_utility.write|0|1|$|
