strTemplate	intMinDifficulty	intMaxDifficulty	strDetailTemplate	strIdFileName	intStringId	intSize	intNumToSpawn	strTemplateToSpawn	intMinReward	intMaxReward	strBuildingType	strLairType	strObjective	strObjectiveTarget	fltKillPercentage	strTargetType
s	i	i	s	s	i	i	i	s	i	I	s	s	s	s	f	s
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
object/tangible/lair/npc_lair.iff	40	90	object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff			45			150000	300000	none	rori_borgal_young_lair_neutral_small		object/tangible/lair/base/poi_all_lair_nest_small_fog_gray.iff		creature
