objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
1233864	0	object/building/general/bunker_syren4_boss.iff	0	1886.46	118.361	475.875	0.961055	0	0.276356	0		$|
1233865	1233864	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
1233866	1233864	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
1233870	1233864	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
1233871	1233864	object/cell/cell.iff	4	0	0	0	1	0	0	0		$|
1233872	1233864	object/cell/cell.iff	5	0	0	0	1	0	0	0		$|
1233873	1233864	object/cell/cell.iff	6	0	0	0	1	0	0	0		$|
2234095	1233873	object/tangible/ground_spawning/area_spawner.iff	6	19.6	-12	28.8	0.01745	0	0.99985	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|600.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|4.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|4|intSpawnSystem|0|1|registerWithController|0|1|strName|4|syren_4_scout_trooper|strSpawnerType|4|area|strSpawns|4|syren_4_scout_trooper|$|
1233876	1233864	object/cell/cell.iff	7	0	0	0	1	0	0	0		$|
1233877	1233864	object/cell/cell.iff	8	0	0	0	1	0	0	0		$|
1233878	1233864	object/cell/cell.iff	9	0	0	0	1	0	0	0		$|
2234094	1233878	object/tangible/ground_spawning/area_spawner.iff	9	41.5	-12	58.1	0.01745	0	0.99985	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|600.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|4.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|5|intSpawnSystem|0|1|registerWithController|0|1|strName|4|syren_4_scout_trooper|strSpawnerType|4|area|strSpawns|4|syren_4_scout_trooper|$|
1233879	1233864	object/cell/cell.iff	10	0	0	0	1	0	0	0		$|
2234093	1233879	object/tangible/ground_spawning/area_spawner.iff	10	1.2	-12	62.7	0.01745	0	0.99985	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|600.000000|fltMinSpawnTime|2|180.000000|fltRadius|2|4.000000|intDefaultBehavior|0|2|intGoodLocationSpawner|0|0|intSpawnCount|0|5|intSpawnSystem|0|1|registerWithController|0|1|strName|4|syren_4_scout_trooper|strSpawnerType|4|area|strSpawns|4|syren_4_scout_trooper|$|
1233880	1233864	object/cell/cell.iff	11	0	0	0	1	0	0	0		$|
1233881	1233864	object/cell/cell.iff	12	0	0	0	1	0	0	0		$|
1233882	1233864	object/cell/cell.iff	13	0	0	0	1	0	0	0		$|
1233883	1233864	object/cell/cell.iff	14	0	0	0	1	0	0	0		$|
1233884	1233864	object/cell/cell.iff	15	0	0	0	1	0	0	0		$|
1233885	1233864	object/cell/cell.iff	16	0	0	0	1	0	0	0		$|
1233896	1233864	object/cell/cell.iff	17	0	0	0	1	0	0	0		$|
1233930	1233864	object/cell/cell.iff	18	0	0	0	1	0	0	0		$|
1233934	1233864	object/cell/cell.iff	19	0	0	0	1	0	0	0		$|
