objid	container	server_template_crc	cell_index	px	py	pz	qw	qx	qy	qz	scripts	objvars
i	i	h	i	f	f	f	f	f	f	f	s	p
9715492	0	object/static/structure/naboo/gungan_wall_ruined_sm_s02.iff	0	2021.57	75.1927	1535.45	0.92388	0	-0.382683	0		$|
9715493	0	object/static/structure/naboo/gungan_wall_ruined_lg_s02.iff	0	2027.12	73.8412	1534.68	0.924909	0	0.380188	0		$|
9715494	0	object/static/structure/naboo/gungan_sacred_head_s01.iff	0	2023.47	75.2215	1544.45	-0.0243415	-0.0485802	0.968453	0.243202		$|
9715495	0	object/static/structure/naboo/gungan_sacred_head_s01.iff	0	2016.06	72.4236	1537.94	0.770509	-0.635672	-0.0447978	-0.0151669		$|
1352897	0	object/tangible/poi/spawnegg/exterior_spawnegg.iff	0	2020.569824	75.85202026	1539.334564	1	0	0	0		$|
-119	0	object/building/general/bunker_blacksun_outpost_01.iff	0	732	76.5	941	1	0	0	0		portalProperty.crc|0|-2110228375|$|
110	-119	object/cell/cell.iff	1	0	0	0	1	0	0	0		$|
111	-119	object/cell/cell.iff	2	0	0	0	1	0	0	0		$|
159	111	object/tangible/ground_spawning/area_spawner.iff	2	-0.1	0.3	2.8	0	0	0	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|900.000000|fltMinSpawnTime|2|600.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|syren_2_black_sun_minion|strSpawnerType|4|area|strSpawns|4|syren_2_black_sun_minion|$|
112	-119	object/cell/cell.iff	3	0	0	0	1	0	0	0		$|
160	112	object/tangible/ground_spawning/area_spawner.iff	3	3.7	0.3	-4.0	0.70711	0	-0.70711	0	systems.spawning.spawner_area	fltMaxSpawnTime|2|900.000000|fltMinSpawnTime|2|600.000000|fltRadius|2|0.000000|intDefaultBehavior|0|1|intGoodLocationSpawner|0|0|intSpawnCount|0|1|intSpawnSystem|0|1|registerWithController|0|1|strName|4|syren_2_black_sun_minion|strSpawnerType|4|area|strSpawns|4|syren_2_black_sun_minion|$|
