item	cash	token5	class	script	note
s[none]	i[0]	i[0]	i[0]	s	c
armor_rebel_snow_belt		9	0		"See library.utils for the int value of the classes. 0 is ""all"" but will only show if there are no items for the opener's class."
armor_rebel_snow_bicep_l		9	0		"So in the case of this table only traders will see the ""all"" items."
armor_rebel_snow_bicep_r		9	0		
armor_rebel_snow_boots		9	0		
armor_rebel_snow_bracer_l		9	0		
armor_rebel_snow_bracer_r		9	0		
armor_rebel_snow_chest_plate		27	0		
armor_rebel_snow_gloves		9	0		
armor_rebel_snow_helmet		9	0		
armor_rebel_snow_leggings		9	0		
armor_rebel_snow_backpack		57	0		
item_tcg_loot_reward_series3_hoth_travel_advertisement		300	0		
item_tcg_loot_reward_series3_wampa_skin_rug		12	0		
item_tcg_loot_reward_series4_stuffed_tauntaun_02_01		2	0		
item_tcg_loot_reward_series4_tauntaun_ride_02_01		50	0	
item_tcg_loot_reward_series4_stuffed_wampa_02_01		5	0		
item_tcg_loot_reward_series6_guise_of_ice		250	0	
item_tcg_loot_reward_series6_snow_jacket		25	0	
item_tcg_loot_reward_series8_armored_tauntaun_statue		100	0		
item_tcg_loot_reward_series8_shield_generator_blueprint		150	0		
item_tcg_loot_reward_series8_wampa_arm		500	0		
item_tcg_loot_reward_series8_snow_speeder_familiar		75	0		
item_tauntaun_dna		2	0		
item_cs_dna_wampa		250	0		
item_echo_base_permafrost_crystal_06_01		50	7		
item_itv_deed_snowspeeder		50	0		
